date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:10	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-53cf1518c31a6%22	http://www.techfest.org/robots.txt		(from )
13:16:10	90593/90593	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2007:43:14%20GMT	http://www.techfest.org/	E:/CLabs/Weh/www.techfest.org/index.html	(from )
13:16:10	336/336	---M--	302	error ('Found')	text/html	date:Wed,%2025%20Jan%202017%2007:43:14%20GMT	http://www.techfest.org/thumbnail1.jpg	E:/CLabs/Weh/www.techfest.org/thumbnail1.jpg	(from http://www.techfest.org/)
13:16:10	13873/13873	---M-Z	200	added ('OK')	text/css	etag:%223631-53cf62cad9686-gzip%22	http://www.techfest.org/css/main.css	E:/CLabs/Weh/www.techfest.org/css/main.css	(from http://www.techfest.org/)
13:16:11	3765/3765	---M-Z	200	added ('OK')	text/css	etag:%22eb5-53cf62cb09426-gzip%22	http://www.techfest.org/css/ticker-style.css	E:/CLabs/Weh/www.techfest.org/css/ticker-style.css	(from http://www.techfest.org/)
13:16:11	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	E:/CLabs/Weh/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from http://www.techfest.org/)
13:16:12	32434/32434	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2007:43:16%20GMT	http://www.techfest.org/initiatives	E:/CLabs/Weh/www.techfest.org/initiatives.html	(from http://www.techfest.org/)
13:16:14	10103/10103	---M--	200	added ('OK')	image/png	etag:%222777-53cf151c2a326%22	http://www.techfest.org/img/homelogo.png	E:/CLabs/Weh/www.techfest.org/img/homelogo.png	(from http://www.techfest.org/)
13:16:15	76705/76705	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2007:43:18%20GMT	http://www.techfest.org/ideate	E:/CLabs/Weh/www.techfest.org/ideate.html	(from http://www.techfest.org/)
13:16:15	11105/11105	---M--	200	added ('OK')	image/png	etag:%222b61-53cf151c92b06%22	http://www.techfest.org/img/initiativeslogo.png	E:/CLabs/Weh/www.techfest.org/img/initiativeslogo.png	(from http://www.techfest.org/)
13:16:16	79895/79895	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2007:43:20%20GMT	http://www.techfest.org/summit	E:/CLabs/Weh/www.techfest.org/summit.html	(from http://www.techfest.org/)
